IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.18.235,8880,8880,false,HKG,Asia Pacific,Hong Kong,165,14.08
8.217.49.34,2086,2086,false,HKG,Asia Pacific,Hong Kong,153,13.64
47.76.204.76,8880,8880,false,HKG,Asia Pacific,Hong Kong,153,13.20
8.217.49.34,2095,2095,false,HKG,Asia Pacific,Hong Kong,155,13.18
47.76.204.76,8443,8443,true,HKG,Asia Pacific,Hong Kong,158,13.07
8.218.136.25,2082,2082,false,HKG,Asia Pacific,Hong Kong,155,12.95
8.218.18.235,2052,2052,false,HKG,Asia Pacific,Hong Kong,163,12.95
8.218.18.235,2053,2053,true,HKG,Asia Pacific,Hong Kong,154,12.71
8.218.8.142,8080,8080,false,HKG,Asia Pacific,Hong Kong,165,12.45
8.218.8.142,2086,2086,false,HKG,Asia Pacific,Hong Kong,159,12.27
16.163.18.210,443,443,true,HKG,Asia Pacific,Hong Kong,162,12.04
8.218.243.95,2082,2082,false,HKG,Asia Pacific,Hong Kong,162,11.77
47.76.159.146,2052,2052,false,HKG,Asia Pacific,Hong Kong,163,6.63
8.218.243.95,80,80,false,HKG,Asia Pacific,Hong Kong,160,6.50
8.217.248.220,2095,2095,false,HKG,Asia Pacific,Hong Kong,157,3.40
47.76.178.146,80,80,false,HKG,Asia Pacific,Hong Kong,159,3.30
47.243.183.127,2087,2087,true,HKG,Asia Pacific,Hong Kong,158,3.11
47.76.159.146,2087,2087,true,HKG,Asia Pacific,Hong Kong,163,2.80
47.76.178.146,2087,2087,true,HKG,Asia Pacific,Hong Kong,159,2.51
8.217.164.10,8443,8443,true,HKG,Asia Pacific,Hong Kong,168,2.47
47.243.183.127,2052,2052,false,HKG,Asia Pacific,Hong Kong,153,2.45
8.210.55.134,2086,2086,false,HKG,Asia Pacific,Hong Kong,158,1.90
156.251.144.162,41683,443,true,HKG,Asia Pacific,Hong Kong,151,1.55
47.76.178.146,8443,8443,true,HKG,Asia Pacific,Hong Kong,163,1.52
202.81.231.150,80,80,false,HKG,Asia Pacific,Hong Kong,211,1.28
47.76.159.146,8880,8880,false,HKG,Asia Pacific,Hong Kong,158,0.92
202.81.231.150,443,443,true,HKG,Asia Pacific,Hong Kong,209,0.80
8.210.55.134,2095,2095,false,HKG,Asia Pacific,Hong Kong,156,0.71
8.210.55.134,2082,2082,false,HKG,Asia Pacific,Hong Kong,158,0.59
8.210.55.134,2087,2087,true,HKG,Asia Pacific,Hong Kong,156,0.31
8.210.55.134,80,80,false,HKG,Asia Pacific,Hong Kong,155,0.31
8.218.126.53,8880,8880,false,HKG,Asia Pacific,Hong Kong,154,0.30
39.115.137.14,443,443,true,HKG,Asia Pacific,Hong Kong,144,0.30
38.181.25.31,52001,443,true,HKG,Asia Pacific,Hong Kong,208,0.26
47.76.159.146,2053,2053,true,HKG,Asia Pacific,Hong Kong,162,0.16
47.76.94.15,8080,0,false,HKG,Asia Pacific,Hong Kong,166,0.13
118.26.38.134,443,443,true,HKG,Asia Pacific,Hong Kong,156,0.12
118.193.33.119,27942,443,true,HKG,Asia Pacific,Hong Kong,162,0.12
47.76.146.1,8880,8880,false,HKG,Asia Pacific,Hong Kong,178,0.12
39.126.44.106,37635,80,false,HKG,Asia Pacific,Hong Kong,249,0.09
154.88.31.91,30000,443,true,HKG,Asia Pacific,Hong Kong,246,0.02
38.181.35.164,37459,443,true,HKG,Asia Pacific,Hong Kong,243,0.00
8.218.126.53,2082,2082,false,HKG,Asia Pacific,Hong Kong,155,0.00
103.148.72.147,1443,443,true,HKG,Asia Pacific,Hong Kong,173,0.00
47.76.94.15,2086,2086,false,HKG,Asia Pacific,Hong Kong,154,0.00
120.220.19.103,2082,2082,false,HKG,Asia Pacific,Hong Kong,232,0.00
194.104.146.124,30809,80,false,HKG,Asia Pacific,Hong Kong,173,0.00
43.154.230.30,443,443,true,HKG,Asia Pacific,Hong Kong,147,0.00
